Navn,OrgNr,NACE_kode,NACE_beskrivelse,AntallAnsatte,aar,driftsinntekter,driftskostnad,driftsresultat,%Driftsmargin_BMRFY,finansinntekter,finanskostnader,%NettoFinansMargin_BMRFY,nettofinans,resultatFørSkatt,%ResultatFørSkatt_BMRFY,aarsresultat,%nettoresultatmargin_BMRFY,totalresultat,anleggsmidler,omlopsmidler,%likviditetsgrad_BMRFY,sumEiendeler,%ROA_BMRFY,innskuttEgenkapital,egenkapital,%egenkapitalandel_BMRFY,%ROE_BMRFY,sumGjeld,%gearing_BMRFY,%Gjeldsgrad_BMRFY,sumEgenkapitalGjeld,langsiktigGjeld,kortsiktigGjeld,omsetningPerAnsatt_BMRFY
WESTRUM KAROSSERI AS,995500892,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",12,2023,19976275,22006021,-2029747,"-10,16 %",3621,96849,"-0,47 %",-93228,-2122975,"-10,63 %",-2728041,"-13,66 %",-2728041,1118585,2326353,"45,01 %",3444938,"-79,19 %",,-2297322,"-66,69 %","118,75 %",5742259,"166,69 %","-249,95 %",3444938,573588,5168671,1664690
WILLIAMS CARAVAN AS,816916402,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",17,2023,0,20127,-20127,,0,39768,,-39768,-59895,,-59895,,,3430036,15186,Infinity,3445222,"-1,74 %",,3445222,"100,00 %","-1,74 %",0,"0,00 %","0,00 %",3445222,0,0,0
WILLY BAMLES BILVERKSTED AS,982372399,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",7,2023,9185262,9034905,150357,"1,64 %",2043,12379,"-0,11 %",-10336,140020,"1,52 %",109111,"1,19 %",109111,420087,2091027,"133,77 %",2511114,"4,35 %",,948007,"37,75 %","11,51 %",1563107,"62,25 %","164,88 %",2511114,0,1563107,1312180
WINTHER AUTO SERVICE AS,913249763,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",7,2023,4729303,0,-241856,"-5,11 %",0,0,"0,00 %",0,-338060,"-7,15 %",-263484,"-5,57 %",-263484,1171172,358686,"35,95 %",1529858,"-17,22 %",,532119,"34,78 %","-49,52 %",997739,"65,22 %","187,50 %",1529858,0,997739,675615
WINTHER-HANSEN AS,974537257,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",11,2023,23405948,22333062,1072886,"4,58 %",25670,250498,"-0,96 %",-224828,848058,"3,62 %",686129,"2,93 %",,2150364,3491304,"156,45 %",5641668,"12,16 %",,857017,"15,19 %","80,06 %",4784651,"84,81 %","558,29 %",5641668,2553129,2231522,2127813
WIST LAST & BUSS AS,958315120,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",308,2023,1313097424,1207234793,105862631,"8,06 %",1583863,7202334,"-0,43 %",-5618471,100244160,"7,63 %",77140265,"5,87 %",77140265,42943100,473262729,"130,26 %",516205829,"14,94 %",,126904544,"24,58 %","60,79 %",389301285,"75,42 %","306,77 %",516205829,25987756,363313529,4263303
WOLD & BORGERSEN AS,979681151,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",9,2023,43067558,46044201,-2976642,"-6,91 %",1009,695085,"-1,61 %",-694077,-3670719,"-8,52 %",-4045190,"-9,39 %",-4045190,459643,10698654,"117,11 %",11158297,"-36,25 %",,-1273677,"-11,41 %","317,60 %",12431974,"111,41 %","-976,07 %",11158297,3296478,9135496,4785284
WWW.ROSS.AS,985242585,45.192,"Detaljhandel med andre motorvogner, unntatt motorsykler",6,2023,23730351,21703352,2026999,"8,54 %",-5563,121680,"-0,54 %",-127243,1899756,"8,01 %",1409714,"5,94 %",,2111799,8650697,"141,90 %",10762496,"13,10 %",,2826063,"26,26 %","49,88 %",7936433,"73,74 %","280,83 %",10762496,1840251,6096182,3955059
XPENG MOTORS (NORWAY) AS,926868950,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",21,2023,565246229,555287476,9958753,"1,76 %",16206713,3227896,"2,30 %",12978817,22937570,"4,06 %",20517509,"3,63 %",20517509,29874343,548737855,"96,30 %",578612198,"3,55 %",,8610218,"1,49 %","238,29 %",570001980,"98,51 %","6620,06 %",578612198,151295,569850685,26916487
XPND AUTOMOTIVE AS,920900747,45.111,"Agentur- og engroshandel med biler og lette motorvogner, unntatt motorsykler",11,2023,205280471,210204526,-4924056,"-2,40 %",497146,2750069,"-1,10 %",-2252923,-7176978,"-3,50 %",-5614652,"-2,74 %",-5614652,13485754,95527443,"102,31 %",109013197,"-5,15 %",,11689117,"10,72 %","-48,03 %",97324080,"89,28 %","832,60 %",109013197,3951905,93372175,18661861
X-RIDER AS,929347641,45.402,"Detaljhandel med motorsykler, deler og utstyr",5,2023,9503728,10464680,-960952,"-10,11 %",0,-312262,"-3,29 %",-312262,-1273214,"-13,40 %",-993477,"-10,45 %",,506421,9219093,"200,33 %",9725514,"-10,22 %",,3323459,"34,17 %","-29,89 %",6402056,"65,83 %","192,63 %",9725514,1799996,4602060,1900746
YAMAHA BERGEN AS,913317254,45.402,"Detaljhandel med motorsykler, deler og utstyr",21,2023,46703684,49276432,-2572748,"-5,51 %",8273,427714,"-0,90 %",-419441,-2992189,"-6,41 %",-2335031,"-5,00 %",-2335031,656859,20273439,"139,40 %",20930298,"-11,16 %",,4524265,"21,62 %","-51,61 %",16406033,"78,38 %","362,62 %",20930298,1862571,14543461,2223985
YES-EU AS,921679610,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",110,2023,338244488,320901692,17342796,"5,13 %",24234869,36216070,"-3,54 %",-11981201,5361595,"1,59 %",4044821,"1,20 %",4044821,54451182,602863336,"702,72 %",657314518,"0,62 %",,30513505,"4,64 %","13,26 %",626801013,"95,36 %","2054,18 %",657314518,541011377,85789637,3074950
ZE BRA VERKSTED AS,979831986,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",10,2023,17443101,21566154,-4123053,"-23,64 %",37782,633725,"-3,42 %",-595943,-4718996,"-27,05 %",-3680817,"-21,10 %",-3680817,3076511,13908872,"93,28 %",16985383,"-21,67 %",,2074603,"12,21 %","-177,42 %",14910780,"87,79 %","718,73 %",16985383,0,14910780,1744310
ZIGO MC AS,939603808,45.402,"Detaljhandel med motorsykler, deler og utstyr",6,2023,17792868,16830534,962334,"5,41 %",2350,116667,"-0,64 %",-114318,848017,"4,77 %",657847,"3,70 %",657847,982111,11035857,"227,66 %",12017968,"5,47 %",,5535342,"46,06 %","11,88 %",6482626,"53,94 %","117,11 %",12017968,1635133,4847493,2965478
ZYRUS ENGINEERING AS,917587752,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",5,2023,9348514,9468063,-119549,"-1,28 %",263963,99326,"1,76 %",164637,45088,"0,48 %",35048,"0,37 %",,610672,9552646,"103,44 %",10163318,"0,34 %",,661375,"6,51 %","5,30 %",9501943,"93,49 %","1436,70 %",10163318,267307,9234636,1869703
ØKERN BILSERVICE AS,995233282,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",6,2023,6628680,5083129,1545551,"23,32 %",1351,32503,"-0,47 %",-31152,1514399,"22,85 %",1161284,"17,52 %",,365884,2248713,"145,26 %",2614597,"44,42 %",,889232,"34,01 %","130,59 %",1725365,"65,99 %","194,03 %",2614597,177292,1548073,1104780
ØKERN DEKKSENTER AS,813055392,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",6,2023,6610582,6336014,274568,"4,15 %",2269,15568,"-0,20 %",-13299,261269,"3,95 %",205688,"3,11 %",,150925,799808,"154,39 %",950733,"21,63 %",,336680,"35,41 %","61,09 %",614053,"64,59 %","182,38 %",950733,96019,518034,1101764
ØKERN KAROSSERI OG BILVERKSTED AS,998880505,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",8,2023,6818432,6145932,672500,"9,86 %",,15,"-0,00 %",-15,672486,"9,86 %",672486,"9,86 %",672486,166466,-161857,"-26,04 %",4609,"14590,71 %",,-616934,"-13385,42 %","-109,00 %",621543,"13485,42 %","-100,75 %",4609,0,621543,852304
ØREBEKK KAROSSERIVERKSTED AS,930203998,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",7,2023,15835958,15426167,409791,"2,59 %",3054,32322,"-0,18 %",-29268,380523,"2,40 %",292594,"1,85 %",,1209511,4745994,"203,06 %",5955504,"4,91 %",,3243281,"54,46 %","9,02 %",2712223,"45,54 %","83,63 %",5955504,375000,2337223,2262280
ØRJE BILSENTER AS,926008927,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",6,2023,9666401,9186246,480155,"4,97 %",24500,30090,"-0,06 %",-5590,474565,"4,91 %",352728,"3,65 %",352728,506151,2542924,"180,51 %",3049076,"11,57 %",,1324161,"43,43 %","26,64 %",1724915,"56,57 %","130,26 %",3049076,316207,1408708,1611067
ØRLAND BIL AS,970907653,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",19,2023,30638682,31144742,-506060,"-1,65 %",34791,859470,"-2,69 %",-824680,-1330739,"-4,34 %",-1038583,"-3,39 %",,9915640,3551845,"43,82 %",13467485,"-7,71 %",,-1805730,"-13,41 %","57,52 %",15273215,"113,41 %","-845,82 %",13467485,7168146,8105069,1612562
ØSTERÅS BILSENTER AS,973053965,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",6,2023,26634302,25998206,636097,"2,39 %",121237,457334,"-1,26 %",-336097,300000,"1,13 %",227090,"0,85 %",227090,1750690,7285317,"248,79 %",9036007,"2,51 %",,5265680,"58,27 %","4,31 %",3770327,"41,73 %","71,60 %",9036007,842078,2928250,4439050
ØSTFOLD BILDEMONTERING AS,984290756,45.320,"Detaljhandel med deler og utstyr til motorvogner, unntatt motorsykler",47,2023,95737169,81266188,14470981,"15,12 %",573647,269860,"0,32 %",303787,14774767,"15,43 %",11518421,"12,03 %",11518421,32108445,40438710,"189,88 %",72547156,"15,88 %",,25250526,"34,81 %","45,62 %",47296629,"65,19 %","187,31 %",72547156,26000000,21296629,2036961
Østlandet motorservice A/S,938028753,45.402,"Detaljhandel med motorsykler, deler og utstyr",13,2023,40368305,40529788,-161484,"-0,40 %",99483,443065,"-0,85 %",-343581,-503821,"-1,25 %",-481313,"-1,19 %",,2732007,22820786,"111,41 %",25552793,"-1,88 %",,4412276,"17,27 %","-10,91 %",21140517,"82,73 %","479,13 %",25552793,657382,20483135,3105254
ØSTLANDSK KAROSSERI AS,985527334,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",6,2023,18877437,16954659,1922779,"10,19 %",66061,3940,"0,33 %",62121,1984900,"10,51 %",1548223,"8,20 %",1548223,642530,5412477,"167,75 %",6055007,"25,57 %",,2826294,"46,68 %","54,78 %",3228713,"53,32 %","114,24 %",6055007,2150,3226563,3146240
ØSTLI AS,994299735,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",19,2023,72657050,69882511,2774538,"3,82 %",41112,1116065,"-1,48 %",-1074954,1699585,"2,34 %",1566275,"2,16 %",1566275,10404830,8649898,"146,36 %",19054727,"8,22 %",,1679824,"8,82 %","93,24 %",17374903,"91,18 %","1034,33 %",19054727,11464960,5909943,3824055
ØVERLAND & CO AS,923636897,45.310,"Agentur- og engroshandel med deler og utstyr til motorvogner, unntatt motorsykler",19,2023,54922527,53632475,1290052,"2,35 %",43950,552384,"-0,93 %",-508435,781617,"1,42 %",719956,"1,31 %",,1187222,15297577,"139,74 %",16484799,"4,37 %",,3561890,"21,61 %","20,21 %",12922909,"78,39 %","362,81 %",16484799,1976005,10946903,2890659
ØVREBØ BIL & KAROSSERI AS,896374982,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",16,2023,42053112,39459859,2593253,"6,17 %",9148,-70576,"-0,15 %",-61428,2531824,"6,02 %",1974343,"4,69 %",,1460761,10979594,"128,19 %",12440355,"15,87 %",,3875310,"31,15 %","50,95 %",8565045,"68,85 %","221,02 %",12440355,0,8565045,2628320
ØYA BIL AS,976933184,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",13,2023,47811598,47426503,385095,"0,81 %",55527,586968,"-1,11 %",-531441,-146346,"-0,31 %",-112900,"-0,24 %",,15515331,5482671,"250,46 %",20998002,"-0,54 %",,6061227,"28,87 %","-1,86 %",14936776,"71,13 %","246,43 %",20998003,12747776,2189000,3677815
ØYANS BIL SANDEFJORD AS,971174722,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",17,2023,60077119,58936961,1140158,"1,90 %",34409,449994,"-0,69 %",-415585,724573,"1,21 %",565264,"0,94 %",565264,1766415,15757145,"128,32 %",17523559,"3,23 %",,5019391,"28,64 %","11,26 %",12504169,"71,36 %","249,12 %",17523559,224744,12279424,3533948
ØYE BYGG & BO AS,952179160,47.521,"Butikkhandel med bredt utvalg av jernvarer, fargevarer og andre byggevarer",12,2023,28050190,27867930,182260,"0,65 %",0,0,"-0,05 %",-13052,169208,"0,60 %",66129,"0,24 %",66129,2607200,16417665,"229,79 %",19024865,"0,35 %",,11136404,"58,54 %","0,59 %",7888460,"41,46 %","70,83 %",19024865,0,7144747,2337516
ØYJORDS BILVERKSTED AS,956748852,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",6,2023,14278537,12071389,2207148,"15,46 %",146893,472,"1,03 %",146421,2353569,"16,48 %",1836681,"12,86 %",1836681,124900,4509332,"105,49 %",4634232,"39,63 %",,359580,"7,76 %","510,79 %",4274653,"92,24 %","1188,79 %",4634232,0,4274653,2379756
ØYSTESE MEK VERKSTED AS,966912456,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",40,2023,91293589,88640408,2653181,"2,91 %",2928441,1553429,"1,51 %",1375012,4028193,"4,41 %",3718218,"4,07 %",,21399952,24001193,"249,05 %",45401145,"8,19 %",,13722682,"30,23 %","27,10 %",31678463,"69,77 %","230,85 %",45401145,22041319,9637144,2282340
ÅDNEKVAM MEKANISKE VERKSTED AS,959604215,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",8,2023,9975650,10023879,-48229,"-0,48 %",374,205,"0,00 %",169,-48060,"-0,48 %",-48060,"-0,48 %",,432250,1464854,"93,89 %",1897104,"-2,53 %",,336935,"17,76 %","-14,26 %",1560169,"82,24 %","463,05 %",1897104,0,1560169,1246956
ÅFJORD LANDBRUKSVERKSTED AS,917554439,47.300,Detaljhandel med drivstoff til motorvogner,21,2023,71547524,69677997,1869528,"2,61 %",106157,-41193,"0,09 %",64964,1934491,"2,70 %",1508389,"2,11 %",,5826900,11632205,"219,48 %",17459105,"8,64 %",,9220425,"52,81 %","16,36 %",8238680,"47,19 %","89,35 %",17459105,2938698,5299982,3407025
ÅKRA BIL AS,977189187,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",49,2023,484889290,471719367,13169923,"2,72 %",75988,2369130,"-0,47 %",-2293142,10876781,"2,24 %",8471692,"1,75 %",8471692,9380783,90153993,"130,12 %",99534776,"8,51 %",,20659462,"20,76 %","41,01 %",78875313,"79,24 %","381,79 %",99534776,9590000,69285313,9895700
ÅKRA BILIMPORT AS,918407820,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",38,2023,162670196,156920601,5749595,"3,53 %",48899,1363117,"-0,81 %",-1314218,4435377,"2,73 %",3458184,"2,13 %",3458184,20043824,41717164,"89,27 %",61760987,"5,60 %",,12411189,"20,10 %","27,86 %",49349798,"79,90 %","397,62 %",61760987,2617482,46732316,4280795
ÅKRA DEKKSENTER AS,919920300,45.320,"Detaljhandel med deler og utstyr til motorvogner, unntatt motorsykler",7,2023,10416402,10369791,46611,"0,45 %",15,67136,"-0,64 %",-67121,-20510,"-0,20 %",-19673,"-0,19 %",,646939,3674688,"146,07 %",4321628,"-0,46 %",,849335,"19,65 %","-2,32 %",3472293,"80,35 %","408,82 %",4321628,956654,2515639,1488057
ÅLESUND AUTO AS,913885597,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",5,2023,9532207,9218566,313641,"3,29 %",14259,78223,"-0,67 %",-63964,249677,"2,62 %",194553,"2,04 %",,1493644,1806479,"143,51 %",3300123,"5,90 %",,826113,"25,03 %","23,55 %",2474009,"74,97 %","299,48 %",3300122,1215245,1258764,1906441
ÅLESUND BILLAKKERING AS,917667934,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",8,2023,9682802,9043369,639433,"6,60 %",4419,46214,"-0,43 %",-41795,597638,"6,17 %",464580,"4,80 %",,2415785,1760161,"139,52 %",4175946,"11,13 %",,2391670,"57,27 %","19,42 %",1784276,"42,73 %","74,60 %",4175946,522681,1261595,1210350
ÅLESUND BILVASK AS,917727430,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",10,2023,5348782,5212241,136542,"2,55 %",0,-20456,"-0,38 %",-20456,116085,"2,17 %",116085,"2,17 %",,694760,923105,"45,20 %",1617865,"7,18 %",,-630387,"-38,96 %","-18,41 %",2248252,"138,96 %","-356,65 %",1617865,206048,2042204,534878
ÅLGÅRD'S AUTO AS,978684335,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",66,2023,231743050,233614883,-1871832,"-0,81 %",99749,3336282,"-1,40 %",-3236533,-5108366,"-2,20 %",-3973140,"-1,71 %",-3973140,4379015,107355765,"113,80 %",111734779,"-3,56 %",,16766122,"15,01 %","-23,70 %",94968657,"84,99 %","566,43 %",111734779,630000,94338657,3511258
